Time;VBusCurrent;VBusVoltage
0:00:00:00.5700000;0.0094;5.2224
0:00:00:00.5800000;0.0094;5.2224
0:00:00:00.5900000;0.0094;5.2224
0:00:00:00.6000000;0.0094;5.2224
0:00:00:00.6100000;0.0094;5.2224
0:00:00:00.6200000;0.0094;5.2224
0:00:00:00.6300000;0.0094;5.2224
0:00:00:00.6400000;0.0094;5.2225
0:00:00:00.6500000;0.0094;5.2225
0:00:00:00.6600000;0.0094;5.2225
0:00:00:00.6700000;0.0094;5.2225
0:00:00:00.6800000;0.0094;5.2225
0:00:00:00.6900000;0.0094;5.2225
0:00:00:00.7000000;0.0094;5.2225
0:00:00:00.7100000;0.0094;5.2225
0:00:00:00.7200000;0.0094;5.2225
0:00:00:00.7300000;0.0094;5.2225
0:00:00:00.7400000;0.0094;5.2225
0:00:00:00.7500000;0.0094;5.2225
0:00:00:00.7600000;0.0094;5.2225
0:00:00:00.7700000;0.0094;5.2225
0:00:00:00.7800000;0.0094;5.2225
0:00:00:00.7900000;0.0094;5.2225
0:00:00:00.8000000;0.0094;5.2225
0:00:00:00.8100000;0.0094;5.2225
0:00:00:00.8200000;0.0094;5.2225
0:00:00:00.8300000;0.0094;5.2225
0:00:00:00.8400000;0.0094;5.2226
0:00:00:00.8500000;0.0094;5.2226
0:00:00:00.8600000;0.0094;5.2226
0:00:00:00.8700000;0.0094;5.2226
0:00:00:00.8800000;0.0094;5.2226
0:00:00:00.8900000;0.0094;5.2226
0:00:00:00.9000000;0.0094;5.2226
0:00:00:00.9100000;0.0094;5.2226
0:00:00:00.9200000;0.0094;5.2226
0:00:00:00.9300000;0.0094;5.2226
0:00:00:00.9400000;0.0095;5.2225
0:00:00:00.9500000;0.0095;5.2225
0:00:00:00.9600000;0.0095;5.2225
0:00:00:00.9700000;0.0095;5.2225
0:00:00:00.9800000;0.0095;5.2225
0:00:00:00.9900000;0.0095;5.2225
0:00:00:01.0000000;0.0095;5.2225
0:00:00:01.0100000;0.0095;5.2225
0:00:00:01.0200000;0.0095;5.2225
0:00:00:01.0300000;0.0095;5.2225
0:00:00:01.0400000;0.0094;5.2225
0:00:00:01.0500000;0.0094;5.2225
0:00:00:01.0600000;0.0094;5.2225
0:00:00:01.0700000;0.0094;5.2225
0:00:00:01.0800000;0.0094;5.2225
0:00:00:01.0900000;0.0094;5.2225
0:00:00:01.1000000;0.0094;5.2225
0:00:00:01.1100000;0.0094;5.2225
0:00:00:01.1200000;0.0094;5.2225
0:00:00:01.1300000;0.0094;5.2225
0:00:00:01.1400000;0.0094;5.2226
0:00:00:01.1500000;0.0094;5.2226
0:00:00:01.1600000;0.0094;5.2226
0:00:00:01.1700000;0.0094;5.2226
0:00:00:01.1800000;0.0094;5.2226
0:00:00:01.1900000;0.0094;5.2226
0:00:00:01.2000000;0.0094;5.2226
0:00:00:01.2100000;0.0094;5.2226
0:00:00:01.2200000;0.0094;5.2226
0:00:00:01.2300000;0.0094;5.2226
0:00:00:01.2400000;0.0094;5.2226
0:00:00:01.2500000;0.0094;5.2226
0:00:00:01.2600000;0.0094;5.2226
0:00:00:01.2700000;0.0094;5.2226
0:00:00:01.2800000;0.0094;5.2226
0:00:00:01.2900000;0.0094;5.2226
0:00:00:01.3000000;0.0094;5.2226
0:00:00:01.3100000;0.0094;5.2226
0:00:00:01.3200000;0.0094;5.2226
0:00:00:01.3300000;0.0094;5.2226
0:00:00:01.3400000;0.0094;5.2226
0:00:00:01.3500000;0.0094;5.2226
0:00:00:01.3600000;0.0094;5.2226
0:00:00:01.3700000;0.0094;5.2226
0:00:00:01.3800000;0.0094;5.2226
0:00:00:01.3900000;0.0094;5.2226
0:00:00:01.4000000;0.0094;5.2226
0:00:00:01.4100000;0.0094;5.2226
0:00:00:01.4200000;0.0094;5.2226
0:00:00:01.4300000;0.0094;5.2226
0:00:00:01.4400000;0.0094;5.2225
0:00:00:01.4500000;0.0094;5.2225
0:00:00:01.4600000;0.0094;5.2225
0:00:00:01.4700000;0.0094;5.2225
0:00:00:01.4800000;0.0094;5.2225
0:00:00:01.4900000;0.0094;5.2225
0:00:00:01.5000000;0.0094;5.2225
0:00:00:01.5100000;0.0094;5.2225
0:00:00:01.5200000;0.0094;5.2225
0:00:00:01.5300000;0.0094;5.2225
0:00:00:01.5400000;0.0094;5.2225
0:00:00:01.5500000;0.0094;5.2225
0:00:00:01.5600000;0.0094;5.2225
0:00:00:01.5700000;0.0094;5.2225
0:00:00:01.5800000;0.0094;5.2225
0:00:00:01.5900000;0.0094;5.2225
0:00:00:01.6000000;0.0094;5.2225
0:00:00:01.6100000;0.0094;5.2225
0:00:00:01.6200000;0.0094;5.2225
0:00:00:01.6300000;0.0094;5.2225
0:00:00:01.6400000;0.0094;5.2225
0:00:00:01.6500000;0.0094;5.2225
0:00:00:01.6600000;0.0094;5.2225
0:00:00:01.6700000;0.0094;5.2225
0:00:00:01.6800000;0.0094;5.2225
0:00:00:01.6900000;0.0094;5.2225
0:00:00:01.7000000;0.0094;5.2225
0:00:00:01.7100000;0.0094;5.2225
0:00:00:01.7200000;0.0094;5.2225
0:00:00:01.7300000;0.0094;5.2225
0:00:00:01.7400000;0.0094;5.2224
0:00:00:01.7500000;0.0094;5.2224
0:00:00:01.7600000;0.0094;5.2224
0:00:00:01.7700000;0.0094;5.2224
0:00:00:01.7800000;0.0094;5.2224
0:00:00:01.7900000;0.0094;5.2224
0:00:00:01.8000000;0.0094;5.2224
0:00:00:01.8100000;0.0094;5.2224
0:00:00:01.8200000;0.0094;5.2224
0:00:00:01.8300000;0.0094;5.2224
0:00:00:01.8400000;0.0094;5.2225
0:00:00:01.8500000;0.0094;5.2225
0:00:00:01.8600000;0.0094;5.2225
0:00:00:01.8700000;0.0094;5.2225
0:00:00:01.8800000;0.0094;5.2225
0:00:00:01.8900000;0.0094;5.2225
0:00:00:01.9000000;0.0094;5.2225
0:00:00:01.9100000;0.0094;5.2225
0:00:00:01.9200000;0.0094;5.2225
0:00:00:01.9300000;0.0094;5.2225
0:00:00:01.9400000;0.0094;5.2226
0:00:00:01.9500000;0.0094;5.2226
0:00:00:01.9600000;0.0094;5.2226
0:00:00:01.9700000;0.0094;5.2226
0:00:00:01.9800000;0.0094;5.2226
0:00:00:01.9900000;0.0094;5.2226
0:00:00:02.0000000;0.0094;5.2226
0:00:00:02.0100000;0.0094;5.2226
0:00:00:02.0200000;0.0094;5.2226
0:00:00:02.0300000;0.0094;5.2226
0:00:00:02.0400000;0.0094;5.2225
0:00:00:02.0500000;0.0094;5.2225
0:00:00:02.0600000;0.0094;5.2225
0:00:00:02.0700000;0.0094;5.2225
0:00:00:02.0800000;0.0094;5.2225
0:00:00:02.0900000;0.0094;5.2225
0:00:00:02.1000000;0.0094;5.2225
0:00:00:02.1100000;0.0094;5.2225
0:00:00:02.1200000;0.0094;5.2225
0:00:00:02.1300000;0.0094;5.2225
0:00:00:02.1400000;0.0094;5.2225
0:00:00:02.1500000;0.0094;5.2225
0:00:00:02.1600000;0.0094;5.2225
0:00:00:02.1700000;0.0094;5.2225
0:00:00:02.1800000;0.0094;5.2225
0:00:00:02.1900000;0.0094;5.2225
0:00:00:02.2000000;0.0094;5.2225
0:00:00:02.2100000;0.0094;5.2225
0:00:00:02.2200000;0.0094;5.2225
0:00:00:02.2300000;0.0094;5.2225
0:00:00:02.2400000;0.0094;5.2226
0:00:00:02.2500000;0.0094;5.2226
0:00:00:02.2600000;0.0094;5.2226
0:00:00:02.2700000;0.0094;5.2226
0:00:00:02.2800000;0.0094;5.2226
0:00:00:02.2900000;0.0094;5.2226
0:00:00:02.3000000;0.0094;5.2226
0:00:00:02.3100000;0.0094;5.2226
0:00:00:02.3200000;0.0094;5.2226
0:00:00:02.3300000;0.0094;5.2226
0:00:00:02.3400000;0.0094;5.2225
0:00:00:02.3500000;0.0094;5.2225
0:00:00:02.3600000;0.0094;5.2225
0:00:00:02.3700000;0.0094;5.2225
0:00:00:02.3800000;0.0094;5.2225
0:00:00:02.3900000;0.0094;5.2225
0:00:00:02.4000000;0.0094;5.2225
0:00:00:02.4100000;0.0094;5.2225
0:00:00:02.4200000;0.0094;5.2225
0:00:00:02.4300000;0.0094;5.2225
0:00:00:02.4400000;0.0094;5.2226
0:00:00:02.4500000;0.0094;5.2226
0:00:00:02.4600000;0.0094;5.2226
0:00:00:02.4700000;0.0094;5.2226
0:00:00:02.4800000;0.0094;5.2226
0:00:00:02.4900000;0.0094;5.2226
0:00:00:02.5000000;0.0094;5.2226
0:00:00:02.5100000;0.0094;5.2226
0:00:00:02.5200000;0.0094;5.2226
0:00:00:02.5300000;0.0094;5.2226
0:00:00:02.5400000;0.0094;5.2226
0:00:00:02.5500000;0.0094;5.2226
0:00:00:02.5600000;0.0094;5.2226
0:00:00:02.5700000;0.0094;5.2226
0:00:00:02.5800000;0.0094;5.2226
0:00:00:02.5900000;0.0094;5.2226
0:00:00:02.6000000;0.0094;5.2226
0:00:00:02.6100000;0.0094;5.2226
0:00:00:02.6200000;0.0094;5.2226
0:00:00:02.6300000;0.0094;5.2226
0:00:00:02.6400000;0.0094;5.2226
0:00:00:02.6500000;0.0094;5.2226
0:00:00:02.6600000;0.0094;5.2226
0:00:00:02.6700000;0.0094;5.2226
0:00:00:02.6800000;0.0094;5.2226
0:00:00:02.6900000;0.0094;5.2226
0:00:00:02.7000000;0.0094;5.2226
0:00:00:02.7100000;0.0094;5.2226
0:00:00:02.7200000;0.0094;5.2226
0:00:00:02.7300000;0.0094;5.2226
0:00:00:02.7400000;0.0094;5.2227
0:00:00:02.7500000;0.0094;5.2227
0:00:00:02.7600000;0.0094;5.2227
0:00:00:02.7700000;0.0094;5.2227
0:00:00:02.7800000;0.0094;5.2227
0:00:00:02.7900000;0.0094;5.2227
0:00:00:02.8000000;0.0094;5.2227
0:00:00:02.8100000;0.0094;5.2227
0:00:00:02.8200000;0.0094;5.2227
0:00:00:02.8300000;0.0094;5.2227
0:00:00:02.8400000;0.0094;5.2227
0:00:00:02.8500000;0.0094;5.2227
0:00:00:02.8600000;0.0094;5.2227
0:00:00:02.8700000;0.0094;5.2227
0:00:00:02.8800000;0.0094;5.2227
0:00:00:02.8900000;0.0094;5.2227
0:00:00:02.9000000;0.0094;5.2227
0:00:00:02.9100000;0.0094;5.2227
0:00:00:02.9200000;0.0094;5.2227
0:00:00:02.9300000;0.0094;5.2227
0:00:00:02.9400000;0.0095;5.2227
0:00:00:02.9500000;0.0095;5.2227
0:00:00:02.9600000;0.0095;5.2227
0:00:00:02.9700000;0.0095;5.2227
0:00:00:02.9800000;0.0095;5.2227
0:00:00:02.9900000;0.0095;5.2227
0:00:00:03.0000000;0.0095;5.2227
0:00:00:03.0100000;0.0095;5.2227
0:00:00:03.0200000;0.0095;5.2227
0:00:00:03.0300000;0.0095;5.2227
0:00:00:03.0400000;0.0094;5.2228
0:00:00:03.0500000;0.0094;5.2228
0:00:00:03.0600000;0.0094;5.2228
0:00:00:03.0700000;0.0094;5.2228
0:00:00:03.0800000;0.0094;5.2228
0:00:00:03.0900000;0.0094;5.2228
0:00:00:03.1000000;0.0094;5.2228
0:00:00:03.1100000;0.0094;5.2228
0:00:00:03.1200000;0.0094;5.2228
0:00:00:03.1300000;0.0094;5.2228
0:00:00:03.1400000;0.0094;5.2228
0:00:00:03.1500000;0.0094;5.2228
0:00:00:03.1600000;0.0094;5.2228
0:00:00:03.1700000;0.0094;5.2228
0:00:00:03.1800000;0.0094;5.2228
0:00:00:03.1900000;0.0094;5.2228
0:00:00:03.2000000;0.0094;5.2228
0:00:00:03.2100000;0.0094;5.2228
0:00:00:03.2200000;0.0094;5.2228
0:00:00:03.2300000;0.0094;5.2228
0:00:00:03.2400000;0.0094;5.2228
0:00:00:03.2500000;0.0094;5.2228
0:00:00:03.2600000;0.0094;5.2228
0:00:00:03.2700000;0.0094;5.2228
0:00:00:03.2800000;0.0094;5.2228
0:00:00:03.2900000;0.0094;5.2228
0:00:00:03.3000000;0.0094;5.2228
0:00:00:03.3100000;0.0094;5.2228
0:00:00:03.3200000;0.0094;5.2228
0:00:00:03.3300000;0.0094;5.2228
0:00:00:03.3400000;0.0094;5.2229
0:00:00:03.3500000;0.0094;5.2229
0:00:00:03.3600000;0.0094;5.2229
0:00:00:03.3700000;0.0094;5.2229
0:00:00:03.3800000;0.0094;5.2229
0:00:00:03.3900000;0.0094;5.2229
0:00:00:03.4000000;0.0094;5.2229
0:00:00:03.4100000;0.0094;5.2229
0:00:00:03.4200000;0.0094;5.2229
0:00:00:03.4300000;0.0094;5.2229
0:00:00:03.4400000;0.0094;5.2231
0:00:00:03.4500000;0.0094;5.2231
0:00:00:03.4600000;0.0094;5.2231
0:00:00:03.4700000;0.0094;5.2231
0:00:00:03.4800000;0.0094;5.2231
0:00:00:03.4900000;0.0094;5.2231
0:00:00:03.5000000;0.0094;5.2231
0:00:00:03.5100000;0.0094;5.2231
0:00:00:03.5200000;0.0094;5.2231
0:00:00:03.5300000;0.0094;5.2231
0:00:00:03.5400000;0.0094;5.2231
0:00:00:03.5500000;0.0094;5.2231
0:00:00:03.5600000;0.0094;5.2231
0:00:00:03.5700000;0.0094;5.2231
0:00:00:03.5800000;0.0094;5.2231
0:00:00:03.5900000;0.0094;5.2231
0:00:00:03.6000000;0.0094;5.2231
0:00:00:03.6100000;0.0094;5.2231
0:00:00:03.6200000;0.0094;5.2231
0:00:00:03.6300000;0.0094;5.2231
0:00:00:03.6400000;0.0094;5.2232
0:00:00:03.6500000;0.0094;5.2232
0:00:00:03.6600000;0.0094;5.2232
0:00:00:03.6700000;0.0094;5.2232
0:00:00:03.6800000;0.0094;5.2232
0:00:00:03.6900000;0.0094;5.2232
0:00:00:03.7000000;0.0094;5.2232
0:00:00:03.7100000;0.0094;5.2232
0:00:00:03.7200000;0.0094;5.2232
0:00:00:03.7300000;0.0094;5.2232
0:00:00:03.7400000;0.0094;5.2233
0:00:00:03.7500000;0.0094;5.2233
0:00:00:03.7600000;0.0094;5.2233
0:00:00:03.7700000;0.0094;5.2233
0:00:00:03.7800000;0.0094;5.2233
0:00:00:03.7900000;0.0094;5.2233
0:00:00:03.8000000;0.0094;5.2233
0:00:00:03.8100000;0.0094;5.2233
0:00:00:03.8200000;0.0094;5.2233
0:00:00:03.8300000;0.0094;5.2233
0:00:00:03.8400000;0.0094;5.2233
0:00:00:03.8500000;0.0094;5.2233
0:00:00:03.8600000;0.0094;5.2233
0:00:00:03.8700000;0.0094;5.2233
0:00:00:03.8800000;0.0094;5.2233
0:00:00:03.8900000;0.0094;5.2233
0:00:00:03.9000000;0.0094;5.2233
0:00:00:03.9100000;0.0094;5.2233
0:00:00:03.9200000;0.0094;5.2233
0:00:00:03.9300000;0.0094;5.2233
0:00:00:03.9400000;0.0094;5.2234
0:00:00:03.9500000;0.0094;5.2234
0:00:00:03.9600000;0.0094;5.2234
0:00:00:03.9700000;0.0094;5.2234
0:00:00:03.9800000;0.0094;5.2234
0:00:00:03.9900000;0.0094;5.2234
0:00:00:04.0000000;0.0094;5.2234
0:00:00:04.0100000;0.0094;5.2234
0:00:00:04.0200000;0.0094;5.2234
0:00:00:04.0300000;0.0094;5.2234
0:00:00:04.0400000;0.0094;5.2237
0:00:00:04.0500000;0.0094;5.2237
0:00:00:04.0600000;0.0094;5.2237
0:00:00:04.0700000;0.0094;5.2237
0:00:00:04.0800000;0.0094;5.2237
0:00:00:04.0900000;0.0094;5.2237
0:00:00:04.1000000;0.0094;5.2237
0:00:00:04.1100000;0.0094;5.2237
0:00:00:04.1200000;0.0094;5.2237
0:00:00:04.1300000;0.0094;5.2237
0:00:00:04.1400000;0.0094;5.2238
0:00:00:04.1500000;0.0094;5.2238
0:00:00:04.1600000;0.0094;5.2238
0:00:00:04.1700000;0.0094;5.2238
0:00:00:04.1800000;0.0094;5.2238
0:00:00:04.1900000;0.0094;5.2238
0:00:00:04.2000000;0.0094;5.2238
0:00:00:04.2100000;0.0094;5.2238
0:00:00:04.2200000;0.0094;5.2238
0:00:00:04.2300000;0.0094;5.2238
0:00:00:04.2400000;0.0094;5.2238
0:00:00:04.2500000;0.0094;5.2238
0:00:00:04.2600000;0.0094;5.2238
0:00:00:04.2700000;0.0094;5.2238
0:00:00:04.2800000;0.0094;5.2238
0:00:00:04.2900000;0.0094;5.2238
0:00:00:04.3000000;0.0094;5.2238
0:00:00:04.3100000;0.0094;5.2238
0:00:00:04.3200000;0.0094;5.2238
0:00:00:04.3300000;0.0094;5.2238
0:00:00:04.3400000;0.0094;5.2238
0:00:00:04.3500000;0.0094;5.2238
0:00:00:04.3600000;0.0094;5.2238
0:00:00:04.3700000;0.0094;5.2238
0:00:00:04.3800000;0.0094;5.2238
0:00:00:04.3900000;0.0094;5.2238
0:00:00:04.4000000;0.0094;5.2238
0:00:00:04.4100000;0.0094;5.2238
0:00:00:04.4200000;0.0094;5.2238
0:00:00:04.4300000;0.0094;5.2238
0:00:00:04.4400000;0.0094;5.2238
0:00:00:04.4500000;0.0094;5.2238
0:00:00:04.4600000;0.0094;5.2238
0:00:00:04.4700000;0.0094;5.2238
0:00:00:04.4800000;0.0094;5.2238
0:00:00:04.4900000;0.0094;5.2238
0:00:00:04.5000000;0.0094;5.2238
0:00:00:04.5100000;0.0094;5.2238
0:00:00:04.5200000;0.0094;5.2238
0:00:00:04.5300000;0.0094;5.2238
0:00:00:04.5400000;0.0094;5.2238
0:00:00:04.5500000;0.0094;5.2238
0:00:00:04.5600000;0.0094;5.2238
0:00:00:04.5700000;0.0094;5.2238
0:00:00:04.5800000;0.0094;5.2238
0:00:00:04.5900000;0.0094;5.2238
0:00:00:04.6000000;0.0094;5.2238
0:00:00:04.6100000;0.0094;5.2238
0:00:00:04.6200000;0.0094;5.2238
0:00:00:04.6300000;0.0094;5.2238
0:00:00:04.6400000;0.0094;5.2239
0:00:00:04.6500000;0.0094;5.2239
0:00:00:04.6600000;0.0094;5.2239
0:00:00:04.6700000;0.0094;5.2239
0:00:00:04.6800000;0.0094;5.2239
0:00:00:04.6900000;0.0094;5.2239
0:00:00:04.7000000;0.0094;5.2239
0:00:00:04.7100000;0.0094;5.2239
0:00:00:04.7200000;0.0094;5.2239
0:00:00:04.7300000;0.0094;5.2239
0:00:00:04.7400000;0.0094;5.2238
0:00:00:04.7500000;0.0094;5.2238
0:00:00:04.7600000;0.0094;5.2238
0:00:00:04.7700000;0.0094;5.2238
0:00:00:04.7800000;0.0094;5.2238
0:00:00:04.7900000;0.0094;5.2238
0:00:00:04.8000000;0.0094;5.2238
0:00:00:04.8100000;0.0094;5.2238
0:00:00:04.8200000;0.0094;5.2238
0:00:00:04.8300000;0.0094;5.2238
0:00:00:04.8400000;0.0094;5.2238
0:00:00:04.8500000;0.0094;5.2238
0:00:00:04.8600000;0.0094;5.2238
0:00:00:04.8700000;0.0094;5.2238
0:00:00:04.8800000;0.0094;5.2238
0:00:00:04.8900000;0.0094;5.2238
0:00:00:04.9000000;0.0094;5.2238
0:00:00:04.9100000;0.0094;5.2238
0:00:00:04.9200000;0.0094;5.2238
0:00:00:04.9300000;0.0094;5.2238
0:00:00:04.9400000;0.0094;5.2238
0:00:00:04.9500000;0.0094;5.2238
0:00:00:04.9600000;0.0094;5.2238
0:00:00:04.9700000;0.0094;5.2238
0:00:00:04.9800000;0.0094;5.2238
0:00:00:04.9900000;0.0094;5.2238
0:00:00:05.0000000;0.0094;5.2238
0:00:00:05.0100000;0.0094;5.2238
0:00:00:05.0200000;0.0094;5.2238
0:00:00:05.0300000;0.0094;5.2238
0:00:00:05.0400000;0.0094;5.2237
0:00:00:05.0500000;0.0094;5.2237
0:00:00:05.0600000;0.0094;5.2237
0:00:00:05.0700000;0.0094;5.2237
0:00:00:05.0800000;0.0094;5.2237
0:00:00:05.0900000;0.0094;5.2237
0:00:00:05.1000000;0.0094;5.2237
0:00:00:05.1100000;0.0094;5.2237
0:00:00:05.1200000;0.0094;5.2237
0:00:00:05.1300000;0.0094;5.2237
0:00:00:05.1400000;0.0094;5.2236
0:00:00:05.1500000;0.0094;5.2236
0:00:00:05.1600000;0.0094;5.2236
0:00:00:05.1700000;0.0094;5.2236
0:00:00:05.1800000;0.0094;5.2236
0:00:00:05.1900000;0.0094;5.2236
0:00:00:05.2000000;0.0094;5.2236
0:00:00:05.2100000;0.0094;5.2236
0:00:00:05.2200000;0.0094;5.2236
0:00:00:05.2300000;0.0094;5.2236
0:00:00:05.2400000;0.0094;5.2236
0:00:00:05.2500000;0.0094;5.2236
0:00:00:05.2600000;0.0094;5.2236
0:00:00:05.2700000;0.0094;5.2236
0:00:00:05.2800000;0.0094;5.2236
0:00:00:05.2900000;0.0094;5.2236
0:00:00:05.3000000;0.0094;5.2236
0:00:00:05.3100000;0.0094;5.2236
0:00:00:05.3200000;0.0094;5.2236
0:00:00:05.3300000;0.0094;5.2236
0:00:00:05.3400000;0.0094;5.2235
0:00:00:05.3500000;0.0094;5.2235
0:00:00:05.3600000;0.0094;5.2235
0:00:00:05.3700000;0.0094;5.2235
0:00:00:05.3800000;0.0094;5.2235
0:00:00:05.3900000;0.0094;5.2235
0:00:00:05.4000000;0.0094;5.2235
0:00:00:05.4100000;0.0094;5.2235
0:00:00:05.4200000;0.0094;5.2235
0:00:00:05.4300000;0.0094;5.2235
0:00:00:05.4400000;0.0094;5.2235
0:00:00:05.4500000;0.0094;5.2235
0:00:00:05.4600000;0.0094;5.2235
0:00:00:05.4700000;0.0094;5.2235
0:00:00:05.4800000;0.0094;5.2235
0:00:00:05.4900000;0.0094;5.2235
0:00:00:05.5000000;0.0094;5.2235
0:00:00:05.5100000;0.0094;5.2235
0:00:00:05.5200000;0.0094;5.2235
0:00:00:05.5300000;0.0094;5.2235
0:00:00:05.5400000;0.0094;5.2234
0:00:00:05.5500000;0.0094;5.2234
0:00:00:05.5600000;0.0094;5.2234
0:00:00:05.5700000;0.0094;5.2234
0:00:00:05.5800000;0.0094;5.2234
0:00:00:05.5900000;0.0094;5.2234
0:00:00:05.6000000;0.0094;5.2234
0:00:00:05.6100000;0.0094;5.2234
0:00:00:05.6200000;0.0094;5.2234
0:00:00:05.6300000;0.0094;5.2234
0:00:00:05.6400000;0.0094;5.2234
0:00:00:05.6500000;0.0094;5.2234
0:00:00:05.6600000;0.0094;5.2234
0:00:00:05.6700000;0.0094;5.2234
0:00:00:05.6800000;0.0094;5.2234
0:00:00:05.6900000;0.0094;5.2234
0:00:00:05.7000000;0.0094;5.2234
0:00:00:05.7100000;0.0094;5.2234
0:00:00:05.7200000;0.0094;5.2234
0:00:00:05.7300000;0.0094;5.2234
0:00:00:05.7400000;0.0094;5.2234
0:00:00:05.7500000;0.0094;5.2234
0:00:00:05.7600000;0.0094;5.2234
0:00:00:05.7700000;0.0094;5.2234
0:00:00:05.7800000;0.0094;5.2234
0:00:00:05.7900000;0.0094;5.2234
0:00:00:05.8000000;0.0094;5.2234
0:00:00:05.8100000;0.0094;5.2234
0:00:00:05.8200000;0.0094;5.2234
0:00:00:05.8300000;0.0094;5.2234
0:00:00:05.8400000;0.0094;5.2234
0:00:00:05.8500000;0.0094;5.2234
0:00:00:05.8600000;0.0094;5.2234
0:00:00:05.8700000;0.0094;5.2234
0:00:00:05.8800000;0.0094;5.2234
0:00:00:05.8900000;0.0094;5.2234
0:00:00:05.9000000;0.0094;5.2234
0:00:00:05.9100000;0.0094;5.2234
0:00:00:05.9200000;0.0094;5.2234
0:00:00:05.9300000;0.0094;5.2234
0:00:00:05.9400000;0.0095;5.2234
0:00:00:05.9500000;0.0095;5.2234
0:00:00:05.9600000;0.0095;5.2234
0:00:00:05.9700000;0.0095;5.2234
0:00:00:05.9800000;0.0095;5.2234
0:00:00:05.9900000;0.0095;5.2234
0:00:00:06.0000000;0.0095;5.2234
0:00:00:06.0100000;0.0095;5.2234
0:00:00:06.0200000;0.0095;5.2234
0:00:00:06.0300000;0.0095;5.2234
0:00:00:06.0400000;0.0094;5.2234
0:00:00:06.0500000;0.0094;5.2234
0:00:00:06.0600000;0.0094;5.2234
0:00:00:06.0700000;0.0094;5.2234
0:00:00:06.0800000;0.0094;5.2234
0:00:00:06.0900000;0.0094;5.2234
0:00:00:06.1000000;0.0094;5.2234
0:00:00:06.1100000;0.0094;5.2234
0:00:00:06.1200000;0.0094;5.2234
0:00:00:06.1300000;0.0094;5.2234
0:00:00:06.1400000;0.0095;5.2234
0:00:00:06.1500000;0.0095;5.2234
0:00:00:06.1600000;0.0095;5.2234
0:00:00:06.1700000;0.0095;5.2234
0:00:00:06.1800000;0.0095;5.2234
0:00:00:06.1900000;0.0095;5.2234
0:00:00:06.2000000;0.0095;5.2234
0:00:00:06.2100000;0.0095;5.2234
0:00:00:06.2200000;0.0095;5.2234
0:00:00:06.2300000;0.0095;5.2234
0:00:00:06.2400000;0.0095;5.2234
0:00:00:06.2500000;0.0095;5.2234
0:00:00:06.2600000;0.0095;5.2234
0:00:00:06.2700000;0.0095;5.2234
0:00:00:06.2800000;0.0095;5.2234
0:00:00:06.2900000;0.0095;5.2234
0:00:00:06.3000000;0.0095;5.2234
0:00:00:06.3100000;0.0095;5.2234
0:00:00:06.3200000;0.0095;5.2234
0:00:00:06.3300000;0.0095;5.2234
